Qty,Value,Device,Package,Parts,Description,MF,MPN,Aliexpress or Ebay link
1,0-50pF,C0603,,C8,,,,
1,1K,RESISTOR-ARRAY0603-ARV,,RR1,,,,https://www.aliexpress.com/item/100pcs-1K-ohm-1-Kohm-5-0603-8P-2-4P-SMD-Thick-Film-Chip-Resistor-Network/32371857792.html?spm=a2g0s.9042311.0.0.QY9Pyc
1,2X4_SMD_2.0MM,2X4_SMD_2.0MM,,J3,,,,
1,4.7uF,C1206,,C1,,,,
1,8MHz,RESONATORMU,,Y1,,,,
4,10K,R0603,,"R2, R1, R5, R10",,,,
1,10K,RESISTOR-ARRAY0603-ARV,,RR2,,,,https://www.aliexpress.com/item/100pcs-10K-ohm-10-Kohm-5-0603-8P-2-4P-SMD-Thick-Film-Chip-Resistor-Network/32372635218.html?spm=a2g0s.9042311.0.0.QY9Pyc
2,10R,R0603,,"R3, R4",,,,
1,10uF,10UF-16V-10%(TANT),,C5,,,,
1,68R,R0603,,R1,,,,
4,100nF,C0603,,"C2, C3, C7, C9",,,,
1,100uF,10UF-16V-10%(TANT),,C4,,,,
1,ATMEGA328P,ATMEGA328P_TQFP,,U1,,,,https://www.aliexpress.com/item/5pcs-lot-Pro-Mini-328-Mini-3-3V-8M-ATMEGA328-3-3V-8MHz-for-arduino/2014808882.html?spm=a2g0s.9042311.0.0.QY9Pyc
1,ATSHA204A,IC_ATSHA204A_CRYPT,,U2,,,,https://www.aliexpress.com/item/Free-Shipping-5-PCS-LOT-ATSHA204A-STUCZ-T-ATSHA204A-STUCZ-ATSHA204A-SOT23-NEW-IN-STOCK/32630759618.html?spm=a2g0s.9042311.0.0.QY9Pyc
1,AVRISP+UART,JST-8-1MM-SMD,,JST1,,,,https://www.aliexpress.com/item/Mini-Micro-SH-1-0-8-Pin-JST-Connector/32817116442.html?spm=a2g0s.9042311.0.0.mtDjLX
1,LED_RGB,LED_RGB_1206_SIDE,,L1,,,,https://www.aliexpress.com/item/100pcs-RGB-1206-Side-SMD-LED-diodes-light/32806115617.html?spm=a2g0s.9042311.0.0.4Q5qtf
3,MMBT2222,TRANSISTOR_NPNSOT23,,"Q1, Q2, Q3",,,,
1,NRF24L01,NRF24L01_SMD,,U$8,,,,https://www.aliexpress.com/item/Free-shipping-10pcs-Component-Kit-NRF24l01-2-4GHz-Wireless-Module-Mini-Version-Power-enhanced-version-SMD/32779823590.html?spm=a2g0s.9042311.0.0.mtDjLX
1,SPI_FLASH-W25X40CLSNIG,SPI_FLASH-X25XXSMD,,FLASH,,,,https://www.aliexpress.com/item/10PCS-2-54mm-Pitch-6Pin-FC-6P-IDC-FC-Female-Header-Connector-3pcs-set/32541790187.html?spm=a2g0s.9042311.0.0.vYy1bo
1,TTP223,TTP223-BA6,,TTP1,,,,https://www.aliexpress.com/item/10Pcs-TTP223-Touch-Key-Switch-Module-Touching-Button-Capacitive-Switches-Self-Locking-No-Locking-Jog-2/32761802828.html?spm=a2g0s.9042311.0.0.QY9Pyc
2,,TERMINAL_5MM_2P,,"J1, J2",,,,
1,,V_REG_LM1117SOT223,,AMS1117-3.3,,,,
2,1K,R0603,,"R2, R4",,,,
1,2K,R0603,,R10,,,,
1,2X4_SMD_2MM,2X4_SMD_2.0MM,,J3,,,,https://www.aliexpress.com/item/2PCS-Gold-Plated-Pitch-2-0mm-2x40-Pin-80-Pin-Double-Row-SMT-SMD-Male-Pin/32706853485.html?spm=a2g0s.9042311.0.0.14xEEZ
1,4.7K,R0603,,R11,,,,
2,22uF,CAP_POL3528,,"C1, C2",,,,
1,DS18B20,DS18B20,,U3,,,,
2,HF46F-5-HS1,RELAY_HF46F-5-HS1,,"RLA1, RLA2",,,,https://www.aliexpress.com/item/5PCS-lot-Power-relays-HF46F-5-HS1-HF46F-12-HS1-HF46F-24-HS1-5A250VAC-4PIN/32824715509.html?spm=a2g0s.9042311.0.0.rkqK6I
1,HILINK_HLK-PM01_5V,HILINK_HLK-PM01_5V,,U$1,,,,https://www.aliexpress.com/item/HLK-PM01-AC-DC-220V-to-5V-mini-power-supply-module-intelligent-household-switch-power-supply/32550808474.html?spm=a2g0s.9042311.0.0.rkqK6I
2,M7,DIODE-SMB,,"D1, D2",,,,
2,MMBT2222,TRANSISTOR_NPNSOT23,,"Q1, Q2",,,,
1,PWD,LEDCHIP-LED0805,,L1,,,,
